Player,Nation,Pos,SoT%,Squad,Comp,Age,MP,G/90,G/Sh,G/SoT,PKGoals,PKAttempted,Goals,Pass,PassCompleted,PassComp%,PasShoCmp%,PasMedCmp%,PasLonCmp%,Assist,Cross,CrossCompleted,CrossComp%,Interception ,Tackle_Won,Tackle,Tackle_Won%,SucDribble,Dribble,DribbleComp%,DribblePast%,YCards,RCards,Fls,Fld,OGoals,AerWon,AerLost,AerWon%,AerLost%,PasswHead,PasswHead%,PKwon,Blocks,BlkSh,BlkShSv,but_par_tir,but_par_tir_cadre,but_par_90min,tete_reussi,passe_avec_tete,pass_short_comp,pass_medium_comp,pass_long_comp,Dribbles_reussis,Dribles_passes,BlockPasse,BlockTir,Block,fautes,tacles_gagnes,carton_rouge,carton_jaune,Tir,Tete,Passe,Dribbles,Tacle,Note Finale,classement_equipe
Boubakar-Kouyaté,MLI,DF,22.7,Metz,Ligue 1,25.0,30,0.03,0.05,0.2,0,0,1,1116,936,83.87,86.3,90.3,71.1,0,0,0,,0.71,48,98,1450.15,6,12,50.0,2.0,8,1,41,32,0,108,45,70.6,0,85,7.62,0.0,2.74,1.25,0.0,65,66,64,86,88,29,67,76,39,16,84,94,90,95,97,98,94,65,87,57,28,96,82.0,1
Harry-Maguire,ENG,DF,43.5,Manchester Utd,Premier League,29.0,30,0.04,0.04,0.1,0,0,1,1515,1322,87.26,91.5,92.0,75.3,0,1,0,0.0,0.61,26,41,1768.71,3,5,60.0,2.2,9,1,23,23,1,102,36,73.94,0,87,5.74,0.0,1.65,1.15,0.0,63,61,70,91,72,70,76,84,56,21,84,92,73,70,78,98,96,65,82,77,38,86,80.0,1
Enzo-Roco,CHI,DF,27.3,Elche,La Liga,29.0,30,0.04,0.09,0.33,0,0,1,1134,950,83.77,90.2,91.7,68.1,0,0,0,,0.53,23,40,1631.21,3,8,37.5,1.75,10,0,40,11,0,80,36,68.95,0,75,6.61,0.0,2.04,1.09,0.04,75,78,70,84,81,60,75,71,16,10,89,90,83,94,72,85,98,74,82,69,13,87,80.0,1
Grant-Hanley,SCO,DF,20.0,Norwich City,Premier League,30.0,33,0.03,0.05,0.25,0,0,1,1242,1053,84.78,88.0,92.2,68.4,0,1,0,0.0,0.31,38,55,2222.22,4,6,66.67,2.0,2,0,28,24,0,116,37,75.79,0,104,8.37,0.0,2.39,1.68,0.03,65,70,64,92,92,40,77,71,70,16,87,97,89,79,92,85,49,66,92,63,43,76,80.0,1
José-Luis-Palomino,ARG,DF,21.4,Atalanta,Serie A,32.0,34,0.03,0.07,0.33,0,0,1,1648,1363,82.71,88.8,88.6,66.5,0,7,1,14.29,0.88,66,99,1981.98,2,4,50.0,1.75,9,0,39,20,0,135,52,72.22,0,117,7.1,0.0,2.12,0.74,0.0,69,78,64,89,86,48,60,67,39,10,84,74,77,93,99,85,96,70,88,58,24,93,79.0,1
Kevin-Danso,AUT,DF,30.8,Lens,Ligue 1,23.0,33,0.06,0.15,0.5,0,0,2,1838,1621,88.19,91.5,92.7,74.3,2,1,0,0.0,0.84,35,54,2011.49,7,13,53.85,2.46,9,2,49,44,0,85,34,71.35,0,88,4.79,0.03,1.65,0.87,0.0,86,89,77,87,61,70,80,81,43,27,84,82,69,98,89,99,96,84,74,77,35,96,79.0,1
Romain-Thomas,FRA,DF,30.8,Angers,Ligue 1,33.0,30,0.07,0.15,0.5,0,0,2,1683,1481,88.0,94.1,93.1,75.5,0,0,0,,0.74,38,60,1800.95,3,3,100.0,3.67,9,0,40,19,0,75,39,65.75,0,76,4.52,0.0,1.65,0.81,0.0,86,89,81,75,56,88,81,84,100,54,84,79,68,94,92,85,96,85,66,84,77,92,78.0,1
Craig-Dawson,ENG,DF,20.0,West Ham,Premier League,32.0,34,0.07,0.08,0.4,0,0,2,1233,1016,82.4,91.1,90.4,65.9,2,1,0,0.0,0.98,21,33,1944.44,2,2,100.0,3.5,5,1,40,12,0,103,56,64.81,0,83,6.73,0.0,2.16,1.8,0.0,73,80,81,71,83,66,68,65,100,52,84,98,86,94,66,98,81,78,77,66,76,85,78.0,1
Axel-Disasi,FRA,DF,10.0,Monaco,Ligue 1,24.0,32,0.03,0.05,0.5,0,0,1,1741,1539,88.4,93.2,93.8,73.3,0,2,1,50.0,1.13,27,43,1901.41,12,13,92.31,3.08,5,0,46,14,0,83,41,66.91,0,83,4.77,0.0,1.72,1.09,0.0,65,89,64,79,61,82,85,80,88,43,84,90,74,96,80,85,81,73,70,82,66,86,78.0,1
Nico-Schlotterbeck,GER,DF,48.6,Freiburg,Bundesliga,22.0,32,0.13,0.11,0.22,0,0,4,1727,1411,81.7,87.2,91.0,64.5,1,10,1,10.0,1.23,53,78,2103.17,21,36,58.33,1.89,5,0,34,38,0,129,45,74.07,0,99,5.73,0.0,2.1,1.1,0.06,79,67,91,91,72,35,70,62,51,12,95,91,86,89,98,85,81,79,82,56,32,88,78.0,1
Diego-Carlos,BRA,DF,34.5,Sevilla,La Liga,29.0,34,0.09,0.1,0.3,0,0,3,2139,1889,88.31,95.4,95.3,71.5,0,1,0,0.0,0.82,38,47,2657.34,2,3,66.67,2.0,4,1,36,19,0,86,40,68.15,0,78,3.65,0.0,1.76,1.09,0.0,77,71,85,82,39,92,91,77,70,16,84,90,75,91,92,98,72,78,60,87,43,88,78.0,1
James-Tarkowski,ENG,DF,26.1,Burnley,Premier League,29.0,35,0.03,0.04,0.17,0,0,1,1122,801,71.39,76.4,77.5,62.3,2,2,0,0.0,0.81,42,71,2038.83,7,9,77.78,2.22,11,0,34,22,1,171,78,68.7,0,168,14.97,0.0,2.67,1.83,0.09,63,64,64,84,99,5,19,58,81,22,98,98,96,89,94,85,99,64,92,27,52,92,77.0,1
Jan-Bednarek,POL,DF,36.8,Southampton,Premier League,26.0,31,0.14,0.21,0.57,0,0,4,1431,1186,82.88,91.0,89.8,58.0,0,6,1,16.67,0.58,21,37,1653.54,1,2,50.0,1.5,10,0,38,17,1,114,60,65.55,0,96,6.71,0.0,2.19,1.03,0.03,93,90,92,74,83,65,65,48,39,8,87,89,84,93,66,85,98,92,78,59,24,86,77.0,1
Jean-Charles-Castelletto,CMR,DF,25.0,Nantes,Ligue 1,27.0,28,0.04,0.06,0.25,0,0,1,1199,1049,87.49,91.5,91.8,71.2,0,4,1,25.0,0.57,32,51,1748.63,6,7,85.71,3.14,8,0,43,11,0,69,30,69.58,0,59,4.92,0.0,1.68,1.0,0.07,67,70,70,85,62,70,75,76,86,44,96,88,74,95,86,85,94,67,71,71,63,87,76.0,1
Éder-Militão,BRA,DF,25.0,Real Madrid,La Liga,24.0,34,0.03,0.03,0.13,0,0,1,1994,1778,89.17,94.6,93.7,76.2,2,12,1,8.33,0.8,40,65,2072.54,12,21,57.14,1.71,5,0,41,41,0,96,36,72.7,0,79,3.96,0.03,1.45,0.71,0.0,61,62,64,89,46,90,85,86,50,10,84,72,62,95,93,85,81,62,68,87,30,88,76.0,1
Julien-Laporte,FRA,DF,17.6,Lorient,Ligue 1,28.0,33,0.06,0.12,0.67,0,0,2,1423,1224,86.02,91.0,92.6,76.2,0,2,0,0.0,0.65,48,71,2171.95,6,7,85.71,2.71,7,0,31,27,0,84,51,62.23,0,95,6.68,0.0,1.59,0.72,0.0,80,93,77,64,82,65,79,86,86,34,84,73,65,84,97,85,91,83,73,77,60,89,76.0,1
