Player,Nation,Pos,SoT%,Squad,Comp,Age,MP,G/90,G/Sh,G/SoT,PKGoals,PKAttempted,Goals,Pass,PassCompleted,PassComp%,PasShoCmp%,PasMedCmp%,PasLonCmp%,Assist,Cross,CrossCompleted,CrossComp%,Tackle_Won,Interception ,SucDribble,Dribble,DribbleComp%,DribblePast%,YCards,RCards,Fls,Fld,OGoals,AerWon,AerLost,AerWon%,AerLost%,PasswHead,PasswHead%,PKwon,but_par_tir,but_par_tir_cadre,but_par_90min,pass_short_comp,pass_medium_comp,pass_long_comp,tete_reussi,passe_avec_tete,Dribbles_reussis,Dribles_passes,Tir,Tete,Passe,Dribbles,Note Finale,classement_equipe
Sehrou-Guirassy,GUI,FW,37.8,Rennes,Ligue 1,26.0,37,0.8,0.2,0.53,0,0,9,301,243,80.73,86.8,72.4,76.9,0,2,0,0.0,5,0.88,10,15,66.67,5.87,1,0,22,39,0,41,37,52.61,0,18,5.98,0.0,90,92,96,78,45,88,87,69,89,63,93,78,70,76,79.0,1
Yoane-Wissa,COD,FWMF,39.4,Brentford,Premier League,25.0,30,0.49,0.21,0.54,0,0,7,280,191,68.21,78.6,66.3,63.3,1,12,1,8.33,8,1.05,17,24,70.83,4.96,0,0,11,27,0,26,27,49.06,0,23,8.21,0.0,91,93,85,41,25,69,79,81,90,57,90,80,45,74,72.0,1
Martin-Terrier,FRA,FWMF,50.6,Rennes,Ligue 1,25.0,37,0.68,0.22,0.44,2,2,21,979,784,80.08,87.3,77.3,72.6,3,40,10,25.0,35,1.13,31,53,58.49,2.02,1,0,30,49,0,58,55,51.37,0,37,3.78,0.03,93,84,94,80,63,84,85,46,75,19,90,66,76,47,70.0,2
Juanmi,ESP,FW,54.5,Betis,La Liga,29.0,33,0.68,0.29,0.53,0,0,16,519,417,80.35,86.2,84.6,64.9,4,9,4,44.44,29,1.22,26,43,60.47,2.65,5,0,45,20,0,27,51,34.65,0,29,5.59,0.04,97,92,94,75,84,72,45,66,79,31,94,56,77,55,70.0,1
Myron-Boadu,NED,FW,38.1,Monaco,Ligue 1,21.0,31,0.37,0.19,0.5,0,0,4,165,133,80.61,84.6,88.0,58.3,1,3,0,0.0,7,0.84,13,19,68.42,6.89,0,0,19,12,0,19,40,32.25,0,6,3.64,0.0,88,91,74,68,90,62,37,45,90,67,84,41,73,78,69.0,1
Gianluca-Scamacca,ITA,FW,46.2,Sassuolo,Serie A,23.0,36,0.67,0.19,0.42,1,1,16,565,422,74.69,80.2,70.4,72.9,0,5,1,20.0,17,0.92,17,33,51.52,2.67,7,0,52,25,0,59,47,55.73,0,34,6.02,0.0,88,80,93,48,38,85,90,69,60,32,87,80,57,46,68.0,1
Moise-Kean,ITA,FW,35.7,Juventus,Serie A,22.0,32,0.41,0.18,0.5,0,0,5,238,179,75.21,79.8,76.1,68.0,2,11,1,9.09,6,0.57,19,37,51.35,4.43,5,0,24,16,0,24,17,58.63,0,10,4.2,0.08,86,91,78,45,59,78,92,52,59,53,85,72,61,56,68.0,1
Christopher-Nkunku,FRA,FWMF,48.8,RB Leipzig,Bundesliga,24.0,34,0.66,0.24,0.49,1,1,20,1050,841,80.1,88.1,80.8,60.9,13,52,8,15.38,13,1.35,60,101,59.41,2.19,2,0,34,67,0,35,45,43.77,0,29,2.76,0.1,94,86,93,82,75,66,70,34,76,23,91,52,74,50,67.0,1
Rafa-Mir,ESP,FW,36.1,Sevilla,La Liga,24.0,34,0.5,0.16,0.45,0,0,10,352,241,68.47,76.1,70.8,53.8,0,9,1,11.11,7,0.65,14,25,56.0,3.2,6,0,33,21,0,71,69,50.72,0,37,10.51,0.0,81,85,85,29,40,51,85,89,70,41,84,87,40,56,67.0,1
Lucas-Alario,ARG,FW,56.5,Leverkusen,Bundesliga,29.0,27,0.82,0.26,0.46,0,1,6,154,106,68.83,71.7,76.7,28.6,0,3,0,0.0,4,1.1,11,13,84.62,11.62,2,0,8,11,0,20,35,36.39,0,14,9.09,0.14,95,85,96,17,61,18,50,85,95,77,87,64,30,82,66.0,1
